date,swt,v,lh,sh,strat,t,rh,sp,cc,ws,sr,st7,st28,st100,st255,sm7,sm28,sm100,sm255,tp,pev,q_gwlf,doc_gwlf,q_inca,doc_inca
2022-07-15,29.39316,82356572,-26.55595,-0.942978,0.176408,26.50125,58.7267,966.1608,17.95833,6.764917,305.125,25.22417,24.49083,21.31583,16.67417,0.1639167,0.218125,0.2550417,0.329,0,6.029916,9.46032,2.15067,4.707,2.191
2022-07-16,29.80832,81758572,-16.4387,-0.646066,0.16567,26.11583,56.01555,966.6203,12.70833,5.775451,320.5,25.47417,24.91167,21.57625,16.78458,0.1522083,0.213625,0.25325,0.328375,0,6.13529,9.32448,2.12656,4.482,2.164
2022-07-17,29.17737,81201572,-218.5461,-7.572756,0.159438,26.45958,49.4283,968.3863,2,6.181291,329.4167,25.69292,25.12833,21.82833,16.90333,0.1467917,0.210125,0.2519167,0.328,0,6.430537,9.22824,2.10044,4.292,2.157
2022-07-18,28.87304,81127572,-186.198,-7.187189,0.154773,25.60958,58.60922,968.3356,3.708333,5.641721,327.4167,25.33875,24.9825,22.05333,17.02,0.1443333,0.2073333,0.251375,0.3275833,0,6.126268,9.13299,2.07981,4.098,2.162
2022-07-19,28.88144,80424572,-142.9897,-5.823689,0.15245,25.41167,69.76194,966.726,14.25,6.654094,325.6667,25.54708,24.92,22.20125,17.13875,0.1445417,0.2054583,0.251375,0.327,0,6.072006,9.03872,2.06359,3.896,2.171
2022-07-20,28.87356,80387572,-115.5573,-5.222609,0.146835,25.395,65.32379,968.5617,22.875,5.851552,307.375,25.26375,24.82625,22.33667,17.26375,0.1451667,0.2040833,0.2515417,0.327,0,5.669139,8.94543,2.05093,3.693,2.181
2022-07-21,28.53431,80387572,-200.2785,-8.745578,0.144991,25.99708,65.45946,968.5884,12.29167,7.531133,304.625,25.59708,24.95125,22.43875,17.37833,0.143375,0.202375,0.2512083,0.3264583,0,5.863564,8.8531,2.04113,3.515,2.194
2022-07-22,28.30208,79104572,-237.5766,-4.848015,0.13944,26.41792,60.00371,966.2051,38.83333,9.155115,320.5833,25.91583,25.34292,22.55542,17.49708,0.14625,0.2017917,0.2521667,0.326,0,6.511141,8.76172,2.03364,3.364,2.223
2022-07-23,28.76274,79067572,-5.766501,-0.288986,0.131561,24.93875,69.18775,967.9566,30.95833,6.635944,283.2917,24.85125,24.88458,22.68458,17.61792,0.148125,0.2010833,0.2522083,0.326,0,5.124862,8.67128,2.02801,3.225,2.269
2022-07-24,28.10591,78957572,-289.3655,-8.780214,0.129684,26.12,66.47852,966.6137,3,8.784907,314.25,25.72833,24.84708,22.71167,17.7325,0.1438333,0.1985,0.251375,0.325375,0,6.219747,8.58178,2.02389,3.078,2.308
